,node,cluster,location,description,followers,name,created_at,likes,statuses_count
37,CShoom,0,None,Blowing up twitter with toddler antics and random thoughts. And by blowing up I mean tweeting in sporadic bursts of enthusiasm.,90,Xристя,15-Dec-2009 (23:33:42.000000),928,1682
38,MartinG8177,0,England  United Kingdom,#RAFVeteran  https://t.co/TIL32CCzmh  #FollowYourDreams #Fibromyalgia #ISupportSmallBusinesses #MentalHealth  #SuicidePrevention @kickItOut #EveryOneIsEqual #RespectoEveryone,12474,TheGlovemeister #KindnessReallyMattersForever ❤x❤,06-Oct-2018 (18:57:54.000000),397291,435867
39,ShubiDoobyDoo1,0,Boston  MA,MS1 at @UVMLarnerMed 👨🏾‍⚕️| @UMassBoston '17 Biochemistry B.S. | MA HOBY '11 | #MedStudentTwitter,335,"Shubhankar ""Shubi"" Joshi | MS1",24-May-2013 (13:42:32.000000),7182,10575
40,CallPali,0,Colombo North  Sri Lanka,Coordinating Secretary (Vanni District) to Cabinet Minister of #Youth Affairs & #Sports Hon Namal Rajapakse #NR (Vavuniya Mannar Mullaithivu)🇱🇰 @MoYS_SriLanka,2103,Palinda Wickramasinghe (#පාලිටකියන්න),10-Apr-2018 (08:41:06.000000),1505,1340
41,davereadpoetry,0,Calgary,See my likes for my work.,733,Dave Read,03-Sep-2016 (03:03:34.000000),258,6274
42,Katphillips48,1,Bradenton  Fl,None,865,Kathleen Phillips,16-Jun-2017 (23:06:38.000000),65375,97882
43,Socratic1,0,Cave Creek  AZ,Wife  mother  grandmother American freedoms are never guaranteed. #Resistance #Indivisible #ArizonaDemocrat #TeamPelosi #VoteBlue2020 #BidenHarris2020,5454,Mata Hari,15-Mar-2009 (19:22:37.000000),363550,346009
44,hyung_licious,1,namgiseok’s heart,ᵗʰᵉʳᵉ'ˢ ᵃ ʳⁱᵇᵇᵒⁿ ⁱⁿ ᵗʰᵉ ˢᵏʸ ᵗʰᵃᵗ ⁱ ˡᵒᵛᵉ | 𝑩𝑻𝑺𝑽𝑻 |ᄅ| 𝔢𝔤𝔬 𝔭𝔢𝔯𝔰𝔬𝔫𝔞 | ᵏⁱᵐᵇᵃᵖ ᵏⁱᵈᵈⁱⁿᵍ? |(っ◔◡◔)っnugu aegi? | #semicolon she/them ★ | 🦋,754,ᴮᴱ⨟LIZ \⁷ 🍂,12-Apr-2020 (12:50:06.000000),47546,29750
45,x_jupiterhart,0,🇨🇦,I'm writing a book called SILVER BROWN. It has pictures in it. ⅓ of my tweets are about 🥁🎸. Unashamed slacktivist. #amwriting #scifi #NaNoWriMo #onelove🦁,3957,X. Jupiter Hart,13-Mar-2009 (15:30:53.000000),1395,61997
46,EclecticMommaZ,0,None,Stay strong ~ Love trumps hate.,18234,Eclectic Momma,27-Oct-2015 (00:33:57.000000),141994,105827
47,D4publichealth,0,LaGrange  Georgia,Serving a 12-County area in Georgia. Protecting and improving the health of our communities  follow us for up-to-date Public Health information!,772,D 4 Public Health,24-Mar-2011 (13:05:49.000000),135,2859
48,HindsEOC,0,Jackson  MS,Official account of the Hinds County Department of Emergency Management. Account not monitored 24/7. CALL 911 to report an Emergency.,387,Hinds County EMA,27-Aug-2012 (21:27:43.000000),214,1318
49,rainph0ria_,1,None,#𝐛𝐭𝐬 #𝐭𝐱𝐭 #𝐝𝐚𝐲𝟔 || 𝘠𝘰𝘶'𝘳𝘦 𝘵𝘩𝘦 𝘴𝘰𝘶𝘳𝘤𝘦 𝘰𝘧 𝘮𝘺 𝘥𝘳𝘦𝘢𝘮 ❄️☁️,558,☾𝓃𝒶𝒹‧₊✜˚ᴮᴱ₇,25-Jun-2019 (13:52:18.000000),16780,4622
50,ajchavar,1,ajchavar.com,Director  photographer  producer. Edward R. Murrow winner. He/him. @nytimes  @washingtonpost  @voxdotcom @applenews @wsj @npr,7087,AJ  but standing six feet away,03-Dec-2008 (00:02:36.000000),6791,25237
51,MiriamG216,1,MIA  FL,Proud American 🇺🇸 1A-2A-TRUMP2020 🇺🇸 ⭐️⭐️⭐️Gen Flynn 🙏GOD & FREEDOM WINS 🇺🇸  https://www.youtube.com/watch?v=qFatvZtsjX8,10945,MiriamMIA ⭐️⭐️⭐️ 🇺🇸 Trump 2020,02-Jul-2017 (15:54:10.000000),34433,61728
52,IowaHSEMD,0,Windsor Heights  Iowa,Official account of Iowa Homeland Security & Emergency Management. We lead  coordinate & support homeland security & emergency management functions in Iowa.,5049,IowaHSEMD,26-Mar-2009 (14:21:48.000000),1700,3757
53,fragkos1,1,Athens Greece,I am not following leaders..  I don’t belong to any team.. Pilot  pilots instructor✈️ airport inspection specialist  sailor⛵️⛵️..most pictures are not mine! 🤗,21238,Stavros,08-Mar-2014 (18:55:15.000000),287662,314779
54,bar_pame,0,Evry  France,If things get rough for you & I let you ride my back  could you AT LEAST PICK UP YOUR FEET! #ImJustSaying,295,P&B,31-Jul-2012 (17:41:08.000000),5984,9455
55,jefffleischer,0,Chicago,I write #books on #politics  #history  #climatechange  heaps more (and #fiction). New edition of #VotesofConfidence for 2020 out 3/3 (@LernerBooks @ZestBooks).,982,Jeff Fleischer,08-Jan-2010 (23:21:31.000000),1544,3928
56,SallyMoen2,1,Everett Washington USA,Reader  bicyclist  upcycles plastics into art. I cook  sew  and love learning history. Patches Pal living in the Pacific NW of the U.S. And I don’t do Facebook!,1124,Sally Moen,15-Apr-2018 (03:19:28.000000),329910,350516
57,AWDwholesale,0,Canoga Park  CA,None,3,American Wholesale Distributors,15-Mar-2016 (17:36:03.000000),31,2262
58,MaryKillamHatt,0,Grafton  Nova Scotia,Mother of 4  grandmother of 10  sister to 6  Aunty to too many to count!  School Secretary.,65,Mary Hatt,18-Jan-2011 (18:37:16.000000),1276,438
59,rpfswrsbc,1,Bengaluru  Karnataka,The official account of the Railway Protection Force (RPF)  Bengaluru Division  South Western Railway (SWR),2266,Sr.DSC RPF Bengaluru,09-Jun-2015 (10:05:10.000000),1108,4924
60,CanEmbMorocco,0,Rabat-Souissi  Morocco,Embassy of Canada to Morocco and Mauritania. Français: @AmbCanMaroc - https://international.gc.ca/socialmedia,5258,Canada in Morocco,30-Sep-2014 (18:40:34.000000),363,3574
61,jjkxxflter,1,𝑪𝑨,pindah ke @Bagasu20,1102,Bagas dan edwina sdg numpank.,18-Jul-2019 (01:03:04.000000),6373,18611
62,PharmacyU,0,Toronto  Ontario,Bringing together a growing community of engaged pharmacists from across Canada  who are looking to build strong connections to improve their business.,2239,Pharmacy U,01-Nov-2011 (18:17:09.000000),866,6047
63,Cor3yL,0,Georgia  USA,Doing things to make things better,1,corey,07-Oct-2020 (21:07:09.000000),7,28
64,LizLiz_Di,1,None,TRUMP 2020 🇺🇸🇺🇸🇺🇸 America First 🇺🇸🇺🇸🇺🇸💎💎Back The Blue💎💎 🇺🇸🇺🇸🇺🇸America Love It Or Leave It 🇺🇸KAG🇺🇸💪Military💪🇺🇸,30596,Liz Diamond 💎⭐️⭐️⭐️💎,04-May-2011 (04:42:30.000000),72830,166993
65,MauryOdali,1,None,None,249,Odali Maury,29-May-2020 (17:18:33.000000),30589,22512
66,miketheidealist,0,Washington  DC,Genocide & mass atrocities prevention advocate. Into peacebuilding & human rights. Practical idealist. Purveyor of logic and rational thought. #genprev,2745,Mike Brand,16-Jul-2010 (19:05:54.000000),31468,43974
67,NRCan,0,Canada,Natural Resources Canada tweets about #Energy  #Mining  #Forestry Terms: http://ow.ly/sjOBH Français : @RNCan,29566,Natural Resources,16-Feb-2012 (15:22:06.000000),3589,14439
68,Wajahatfarooqbt,0,Baramula  Jammu And Kashmir,Chairman of  @JkSYSF  Social & Political Activist General Secretary Of Co-operative Society|Tweets are Personal.RT's are not endorsements.🇮,4998,Wajahat Farooq Bhat,31-Aug-2014 (11:23:50.000000),24082,5732
69,TxPtNotMedList,0,Metro Louisville,RN CCM prior #Hospice Cert/Educator/Researcher/Advocate for #pain pts & MD's. Envision quality #UniversalHealthcare. 🌊 No Lists,458,FumingMadPt,28-Oct-2016 (19:12:17.000000),12793,4722
70,simpleX_j3rr31L,0,Virginia  USA,#DMV 🖕🖕 I Like & Share Whatever TF I Want: Knowledge  Positivity  Music  Life  Humor  & #Eyecandy 👑🤔🤤🌍🌎🌏🌈,940,SimplyTheWayIAm 👈😎,23-Jan-2012 (23:12:19.000000),111684,88421
71,kaylynnetaylor,0,United States,Talent Curator & Success Strategist  #NACE #SHRM #NASPA  #NASFAA  Compliance Pro  Consultant  Speaker  Protocol Specialist  Chihuahua Mom  Views are my own,393,Kay-lynne S. Taylor,01-Aug-2014 (13:10:57.000000),2849,2482
72,iammuslim_,0,New York  USA,Who are the muslims of the world? They are of different colors  speak different languages and from different cultures. Let them tell you about #Islam.,426,I am Muslim,28-Jun-2018 (20:16:54.000000),8190,17236
73,jaxgadd,1,San Diego  CA,“Sat in class and was radicalized by the left.” Drinks decaf. Tries to practice yoga. Anti-racist. Not opinionated at all. MOT. She/her.,383,princess jackie flowerpants,02-Sep-2009 (04:55:15.000000),16613,8212
74,ltlgcoach,1,Texas,Make America Great Again BlueLivesMatter CodeOfVets SaveTheChildren BuyAmericanNotChina NeverVoteDemocratAgain Trump2020 DrainTheSwamp,30398,ltlgcoach,05-Apr-2009 (17:53:23.000000),76656,253388
75,parkjxxmnn,1,𝙢𝙪𝙡𝙛𝙖𝙣𝙙ﾉ*.✧,𝘵𝘩𝘪𝘴 𝘶𝘴𝘦𝘳 𝘪𝘴 𝘢 #𝐁𝐓𝐒 #𝐒𝐊𝐙生 #𝐓𝐗𝐓 #𝐄𝐍𝐇𝐘𝐏𝐄𝐍 #𝐍𝐂𝐓𝟐𝟎𝟐𝟎 𝘴𝘵𝘢𝘯 . (◠‿・)— ☆—𝙝𝙖𝙧𝙖 𝙥𝙩.3,248,ᴮᴱnutrien⁷ `kinda ia,26-Sep-2020 (15:10:16.000000),972,1568
76,DriveWise,0,Barrie  ON,Getting You and Yours Home Safely!  Corporate Headquarters,1162,DriveWise,06-Sep-2009 (20:59:57.000000),1653,3644
77,Kbirdcat,0,None,I enjoy people.#Cats#Laughing#Silliness#blacklivesmatter,1731,Kbirdcat,17-Dec-2016 (21:33:24.000000),91766,114069
78,Kryptomovies77,0,None,A comic book soaked mind. A Potterhead  Whovian. Team Marvel & DC. I also swing both ways with Star Wars & Star Trek.,1577,Excelsior Forever 🎃,20-Dec-2017 (19:02:33.000000),54586,45562
79,ecosolvercanada,0,Toronto  Ontario,Environmentally-focused startup providing solutions to help save the earth. 🌍 Visit our website to browse our products and services:https://ecosolver.ca,359,Ecosolver,06-Apr-2020 (00:01:43.000000),49,230
80,carlCurrelley,0,london ontario  canada,Married and have a son and daughter and a dog. Combined household with mother in law.,203,carl currelley,19-Feb-2014 (05:36:43.000000),29973,20536
81,SafetyMentalst,0,Texas  USA,#SafetyMentalst@SafetyMentalst Safety not Ment last .a play on #words.,12254,Jerry Rome Bass,23-Apr-2009 (19:35:56.000000),464213,289041
82,The_Games_Afoot,1,Washington  USA,I get my kicks *ABOVE* the waistline  Sunshine. She/Her,490,Courtney K 📢,06-May-2009 (17:36:10.000000),202893,66110
83,SatyaAgasti,1,None,None,0,Satya Agasti,09-Apr-2020 (12:03:13.000000),4,11
84,RpfKjm,0,KRISHNARAJAPURAM  560016,Call RPF Security Helpline 182 to report any security concerns during your train journey.DIAL - 182,14,RPF KRISHNARAJPURAM,30-Oct-2020 (12:52:45.000000),490,495
85,viralvideovlogs,0,കേരളം,news news news and trendshttps://youtu.be/Hxb0CLPBypg,4378,#StayHome,13-Jan-2018 (18:33:01.000000),2300,381878
86,LilRedRunning,0,None,Baltimore native  Gettysburg graduate  DC resident  distance runner  cyclist  ultimate frisbee player  dog lover. Aspiring DPT...,195,Alice,02-Feb-2012 (04:20:44.000000),5417,2972
87,MasonRaeDixon,0,Lost in chaos,I live in my own little world. Feel free to join me but enter at your own risk.,840,Mason,09-Mar-2010 (17:19:55.000000),9715,61448
88,nearlynana,0,Earth.,Left of centre. Support small business too. Ratched is gripping  well acted  well produced. Lib/coalition party in Oz is RW. GOGO Biden!,668,MMT Gerri 🇦🇺🇬🇧🕷🇮🇹 RN. CMHN.,19-Aug-2009 (08:35:34.000000),61410,27398
89,ute_angie,1,v,me... a hint of mystery  a wee bit of an attitude  lots of determination...love hot sunny days  bare feet  individuality  freedom  loving  living and giving...,1826,Angie Hintelmann,14-Apr-2018 (19:40:10.000000),212665,11440
90,tchedds,1,None,passion for music  mental health  victim services and puppies! 💜🐕,722,Tay,21-Mar-2009 (02:49:01.000000),7339,7817
91,parkfjimin,1,she/her(◍•ᴗ•◍),#석진: ɪ ᴀᴍ ᴛʜᴇ 🌙  ᴀɴᴅ ᴀʀᴍʏ ɪꜱ ᴍʏ 🌏    •    𝑂𝑇7    •    @BTS_twt only fan account,810,ᴮᴱsharia⁷𐤀 is active:),03-Dec-2018 (16:04:41.000000),15090,12366
92,movingwords,0,San Francisco  CA,Creative producer & dev't exec at the intersection of entertainment arts  tech  edu & social change. An empathetic bad ass cultural arts warrior.,1630,movingwords,07-Feb-2008 (17:33:15.000000),13400,13031
93,BCFerries,0,British Columbia,Extra safety measures are in place at terminals & on board to prevent the spread of COVID-19. Learn more on the new #BCFerries website: http://ow.ly/Y7oU30rgy9s,94417,BC Ferries | Travel safe. Wear a mask.,15-Apr-2010 (21:04:23.000000),12189,148306
94,WholePlateWay,0,Bismarck  North Dakota,Saving our country from imploding one tweet at a time. Volunteer & vote.❤️📚#GoBison #InvisibleDisability #ChronicPain #DemCastWI #DemCastAZ #DemCastMT #Fresh,13301,Andrea #DemCast 🇺🇸,26-Jun-2013 (21:40:31.000000),348677,113941
95,johnleewriter,1,Vancouver  British Columbia,Independent writer (http://www.johnleewriter.com)  Lonely Planet author & massive Christmas fan (http://www.VancouverChristmasGuide.com),11987,John Lee,04-Jul-2009 (14:01:24.000000),14782,83028
96,SeniorVPres,0,Cape Coral  FL,None,33,Bob,16-Jan-2010 (21:04:08.000000),111,1578
97,amini54art,0,Hong Kong,#Art #Photography #Print #Design Curious and persistent  amini54 explores art with a spirit of adventure and a love of play.,1021,amini54,16-Nov-2018 (13:48:14.000000),67236,86496
98,pfwnyc,0,nyc l maine,RESIST! 🌊 passionate defender of our earth. be kind. gun control NOW! facts matter. #ProChoice #equality #VoteBlue #NeverTrump #science #climatechange #BLM,887,P W 1 day!,13-May-2014 (15:16:18.000000),63282,10335
99,iStanBTS3000,1,BTS and ARMYs Private Island,OT7 ARMY • TXT • ENHYPEN • 🇵🇭 • noticed by Hobi vlive  200218 • Mahal ko kayo! - taekook vlive  200505 • switch stan • J-Eri⁷'s first love ☀️🍪,598,⟭⟬🔞⟬⟭ᴮᴱExpensive Eri⁷⏻N:E · JIMTOBER 🌞🐱🐰🐨🐥,17-Jan-2020 (11:57:50.000000),47179,32252
100,SINGLRI7Y,1,she/her  19,#태진 ☆ミ ── fan account 𓂅,265,aja⁷ ia 📚,09-May-2020 (10:25:51.000000),7375,3739
101,HerzenReine,0,None,- occasional scribbles - ☁️ 🔞,392,Reine Herzen 🌹,09-Nov-2019 (05:21:17.000000),120828,21838
102,YMP0P,1,BTSPOP!💿,ㅤㅤ ㅤteamwork makes the dream work ! •she/her•,1067,ᴮᴱm⁷,30-Mar-2016 (19:53:50.000000),10901,42268
103,7thclouds,0,Higashiyamato-City Tokyo Japan,Japanese/UKSussexUniLLM/MA NihonUniBAPsy TOEFL620TOIEC950  http://7thcloudsmaritomitaphoto.blogspot.jp http://maritomita7thclouds.blogspot.jp *AllRightsReserved,1533,冨田麻里（7thclouds公式ツィート,11-Feb-2010 (08:08:25.000000),315460,338972
104,Blackbiz2020,0,None,Hello  I’m SoulBot ... My job is to retweet #BlackOwnedBusiness... thanks   to @KillerMike’s show #triggerwarningwithkillermike & the Creator @RealNaro,1426,SoulBot,23-Jun-2020 (03:06:28.000000),8723,121810
105,AndrewForTrump,1,United States,SUSPENDED! Just lost 40k fellow patriots @AndrewLoveUS. I'll slowly follow back everyone.,23566,🇺🇸🦅Andrew 2.0🦅🇺🇸,02-Oct-2020 (23:28:49.000000),15172,15407
106,FreeDAnimation,0,Glasgow,"♥️ historically inaccurate movies #Highlander  #Braveheart  #Gladiator & #RobertTheBruce. It's all for nothing if you don't have #FREEDOM!"" ♥️3D Animation""",148,#FreedomNation 🏴󠁧󠁢󠁳󠁣󠁴󠁿💙⚔️,24-Jun-2019 (18:42:01.000000),9364,7718
107,sawant_sagun,0,None,None,119,Sagun Sawant,02-May-2017 (13:50:59.000000),6768,6900
108,Endgame2021,0,Illinois  USA,#DemVoice1 #BidenHarris2020 Trump is traitor #BlueTsunami2020,46093,Mesa,14-Sep-2014 (03:08:28.000000),59307,37429
109,johangreg,0,Calgary  Alberta,Laid off due to #COVIDー19. Looking to live my lifelong dream of becoming a political staffer. I love sports  politics  and have Aspergers.,3456,Greg Johansen 🏳️‍🌈🎾(🏠232),13-Sep-2008 (16:04:25.000000),264266,649331
110,indywales3,0,None,Showing support for the #Welsh independence movement with t-shirts  hoodies  #facemasks  stickers & more 🏴󠁧󠁢󠁷󠁬󠁳󠁿 #CymruAmByth #IndyWales #Annibyniaeth,194,Branwen 🏴󠁧󠁢󠁷󠁬󠁳󠁿IndyWales🇪🇺,04-Feb-2020 (16:57:58.000000),647,346
111,isthisab0t,0,Durham  England,This is a retweet B0T   ¦    Retweets are obvsly no endorsements 👍   ¦    NATO linked think tanks take note?,852,McBOT,05-Feb-2020 (18:44:09.000000),157,200448
112,rtItBot,0,None,Yet another #retweet bot!RT's all (except sensitive) #rtitbot tweetsFollows back within 1 hourSupporting @realListige & #listige,1747,Retweets ALL #rtitbot tweets! Follows back in 1h!,27-Jun-2020 (15:10:03.000000),20,34714
113,tweekerbear,0,Cleveland ,i wanna go fast.... i am awesome so can you! #teamMMA4life                relapsing cardboard addict  could be worse.,3237,Tweek R Bear,28-Aug-2010 (00:40:49.000000),63975,24719
114,zucchinibeemama,1,Vancouver  British Columbia,Lori W.  author of Victory Gardens for Bees: A DIY Guide to Saving the Bees. Curvaceous feminist  artist  educator. Advocate for native bee habitat. she/her,1950,beespeaker,25-Jan-2019 (21:38:59.000000),118172,18992
115,gtpgr,0,Greece,Everything about the Greek travel industry. Also on https://t.co/MQtwHyG9c9  https://t.co/Kr3j6R3c9U  https://t.co/fV9IqIVvFo  https://t.co/2dczTA9BcIhttps://t.co/ZQBbf5lfc0…,15078,Greek Travel Pages,21-Sep-2011 (08:51:24.000000),1248,25789
116,OptimusPrinkeps,0,Offaly  Ireland,siobhán (shiv-awn). irish freelance artist. 27. bisexual. she/her. Red Panda Enthusiast. Talk to me about Bloodborne. priv: @shivvents,922,bog cryptid 🎀ᵇˡᵐ,07-Aug-2013 (19:12:14.000000),53869,25570
117,Sybie54,1,None,Conservative.  Love the USA. Tired of Corrupt Gov: Local to Fed   Uninformed voters and Arrogant women! Concerned for my grandkids future! #TRUMP2016 #TRUMP2020,124,Sybie54,03-Sep-2008 (19:57:40.000000),9728,13444
118,lowkey_nie,0,Austria,my làst acc was suspended 🤡,121,Gèa Manawari,27-Oct-2020 (15:26:49.000000),25,78
